file_path,label
data/real/8555_284447_000015_000003.wav,1
data/real/237_126133_000050_000000.wav,1
data/real/4507_16021_000013_000000.wav,1
data/real/1580_141084_000041_000001.wav,1
data/real/7729_102255_000012_000011.wav,1
data/real/1284_1180_000045_000002.wav,1
data/real/237_134493_000002_000003.wav,1
data/real/1995_1837_000013_000000.wav,1
data/real/7729_102255_000010_000007.wav,1
data/real/1089_134691_000014_000002.wav,1
data/real/7127_75946_000060_000003.wav,1
data/real/5683_32865_000010_000004.wav,1
data/real/4970_29095_000015_000000.wav,1
data/real/237_134500_000027_000003.wav,1
data/real/4970_29093_000020_000001.wav,1
data/real/3570_5695_000002_000001.wav,1
data/real/4970_29095_000011_000002.wav,1
data/real/2300_131720_000013_000000.wav,1
data/real/7021_85628_000008_000001.wav,1
data/real/7127_75946_000033_000000.wav,1
data/real/1580_141083_000041_000006.wav,1
data/real/1580_141083_000088_000000.wav,1
data/real/5142_36377_000008_000005.wav,1
data/real/908_157963_000010_000000.wav,1
data/real/237_134493_000017_000004.wav,1
data/real/2961_961_000026_000003.wav,1
data/real/3570_5695_000002_000007.wav,1
data/real/1580_141083_000009_000001.wav,1
data/real/1580_141084_000079_000002.wav,1
data/real/1995_1837_000026_000003.wav,1
data/real/2830_3979_000021_000000.wav,1
data/real/7021_79740_000021_000001.wav,1
data/real/8463_294825_000022_000004.wav,1
data/real/1580_141084_000016_000001.wav,1
data/real/4970_29095_000002_000001.wav,1
data/real/8463_287645_000024_000000.wav,1
data/real/260_123288_000041_000003.wav,1
data/real/5639_40744_000008_000002.wav,1
data/real/8555_284447_000016_000000.wav,1
data/real/5683_32865_000018_000000.wav,1
data/real/260_123288_000031_000001.wav,1
data/real/1580_141083_000045_000002.wav,1
data/real/4970_29095_000011_000000.wav,1
data/real/5105_28241_000005_000001.wav,1
data/real/5639_40744_000010_000005.wav,1
data/real/3570_5694_000010_000000.wav,1
data/real/1320_122612_000019_000005.wav,1
data/real/6829_68769_000012_000001.wav,1
data/real/4446_2271_000022_000006.wav,1
data/real/1995_1836_000018_000000.wav,1
data/real/4970_29095_000009_000000.wav,1
data/real/7176_88083_000005_000005.wav,1
data/real/1580_141084_000030_000004.wav,1
data/real/8555_284447_000048_000002.wav,1
data/real/2830_3979_000019_000001.wav,1
data/real/3575_170457_000016_000005.wav,1
data/real/1580_141083_000037_000000.wav,1
data/real/2300_131720_000002_000003.wav,1
data/real/4507_16021_000029_000005.wav,1
data/real/2300_131720_000030_000005.wav,1
data/real/4992_23283_000025_000001.wav,1
data/real/237_126133_000037_000000.wav,1
data/real/5639_40744_000000_000002.wav,1
data/real/3570_5694_000014_000004.wav,1
data/real/3570_5696_000004_000004.wav,1
data/real/2300_131720_000016_000013.wav,1
data/real/2961_961_000019_000004.wav,1
data/real/1320_122612_000056_000006.wav,1
data/real/1284_1181_000042_000001.wav,1
data/real/3570_5695_000010_000002.wav,1
data/real/4970_29093_000048_000000.wav,1
data/real/7176_88083_000013_000002.wav,1
data/real/4077_13754_000004_000003.wav,1
data/real/5639_40744_000003_000012.wav,1
data/real/7729_102255_000012_000012.wav,1
